run_number,condition_id,replicate,pH,Temp_C,RPM,Inoculum_pct,Sugar_gL,BC_yield_gL
1,1,1,4.0,25.0,50.0,5.0,20.0,3.335
2,1,2,4.0,25.0,50.0,5.0,20.0,2.959
3,1,3,4.0,25.0,50.0,5.0,20.0,3.46
4,2,1,4.0,25.0,50.0,5.0,30.0,4.238
5,2,2,4.0,25.0,50.0,5.0,30.0,3.429
6,2,3,4.0,25.0,50.0,5.0,30.0,3.61
7,3,1,4.0,25.0,50.0,5.0,40.0,4.386
8,3,2,4.0,25.0,50.0,5.0,40.0,4.261
9,3,3,4.0,25.0,50.0,5.0,40.0,4.345
10,4,1,4.0,25.0,50.0,5.0,50.0,4.136
11,4,2,4.0,25.0,50.0,5.0,50.0,4.621
12,4,3,4.0,25.0,50.0,5.0,50.0,4.593
13,5,1,4.0,25.0,50.0,5.0,60.0,4.068
14,5,2,4.0,25.0,50.0,5.0,60.0,4.366
15,5,3,4.0,25.0,50.0,5.0,60.0,4.181
16,6,1,4.0,25.0,50.0,7.5,20.0,3.709
17,6,2,4.0,25.0,50.0,7.5,20.0,4.053
18,6,3,4.0,25.0,50.0,7.5,20.0,3.682
19,7,1,4.0,25.0,50.0,7.5,30.0,4.921
20,7,2,4.0,25.0,50.0,7.5,30.0,4.661
21,7,3,4.0,25.0,50.0,7.5,30.0,4.623
22,8,1,4.0,25.0,50.0,7.5,40.0,4.859
23,8,2,4.0,25.0,50.0,7.5,40.0,5.392
24,8,3,4.0,25.0,50.0,7.5,40.0,5.007
25,9,1,4.0,25.0,50.0,7.5,50.0,4.955
26,9,2,4.0,25.0,50.0,7.5,50.0,4.976
27,9,3,4.0,25.0,50.0,7.5,50.0,5.224
28,10,1,4.0,25.0,50.0,7.5,60.0,4.852
29,10,2,4.0,25.0,50.0,7.5,60.0,4.866
30,10,3,4.0,25.0,50.0,7.5,60.0,4.871
31,11,1,4.0,25.0,50.0,10.0,20.0,4.95
32,11,2,4.0,25.0,50.0,10.0,20.0,4.236
33,11,3,4.0,25.0,50.0,10.0,20.0,4.207
34,12,1,4.0,25.0,50.0,10.0,30.0,4.847
35,12,2,4.0,25.0,50.0,10.0,30.0,5.247
36,12,3,4.0,25.0,50.0,10.0,30.0,5.391
37,13,1,4.0,25.0,50.0,10.0,40.0,5.418
38,13,2,4.0,25.0,50.0,10.0,40.0,5.215
39,13,3,4.0,25.0,50.0,10.0,40.0,5.219
40,14,1,4.0,25.0,50.0,10.0,50.0,5.657
41,14,2,4.0,25.0,50.0,10.0,50.0,5.683
42,14,3,4.0,25.0,50.0,10.0,50.0,5.627
43,15,1,4.0,25.0,50.0,10.0,60.0,4.964
44,15,2,4.0,25.0,50.0,10.0,60.0,5.215
45,15,3,4.0,25.0,50.0,10.0,60.0,5.183
46,16,1,4.0,25.0,50.0,12.5,20.0,4.511
47,16,2,4.0,25.0,50.0,12.5,20.0,4.694
48,16,3,4.0,25.0,50.0,12.5,20.0,4.513
49,17,1,4.0,25.0,50.0,12.5,30.0,5.365
50,17,2,4.0,25.0,50.0,12.5,30.0,5.194
51,17,3,4.0,25.0,50.0,12.5,30.0,5.256
52,18,1,4.0,25.0,50.0,12.5,40.0,5.727
53,18,2,4.0,25.0,50.0,12.5,40.0,5.142
54,18,3,4.0,25.0,50.0,12.5,40.0,5.46
55,19,1,4.0,25.0,50.0,12.5,50.0,5.443
56,19,2,4.0,25.0,50.0,12.5,50.0,5.396
57,19,3,4.0,25.0,50.0,12.5,50.0,5.498
58,20,1,4.0,25.0,50.0,12.5,60.0,5.669
59,20,2,4.0,25.0,50.0,12.5,60.0,5.008
60,20,3,4.0,25.0,50.0,12.5,60.0,5.521
61,21,1,4.0,25.0,50.0,15.0,20.0,3.779
62,21,2,4.0,25.0,50.0,15.0,20.0,4.156
63,21,3,4.0,25.0,50.0,15.0,20.0,4.296
64,22,1,4.0,25.0,50.0,15.0,30.0,5.139
65,22,2,4.0,25.0,50.0,15.0,30.0,5.174
66,22,3,4.0,25.0,50.0,15.0,30.0,5.197
67,23,1,4.0,25.0,50.0,15.0,40.0,5.252
68,23,2,4.0,25.0,50.0,15.0,40.0,5.221
69,23,3,4.0,25.0,50.0,15.0,40.0,5.59
70,24,1,4.0,25.0,50.0,15.0,50.0,5.321
71,24,2,4.0,25.0,50.0,15.0,50.0,5.018
72,24,3,4.0,25.0,50.0,15.0,50.0,5.058
73,25,1,4.0,25.0,50.0,15.0,60.0,4.793
74,25,2,4.0,25.0,50.0,15.0,60.0,5.189
75,25,3,4.0,25.0,50.0,15.0,60.0,5.09
76,26,1,4.0,25.0,87.5,5.0,20.0,3.518
77,26,2,4.0,25.0,87.5,5.0,20.0,3.205
78,26,3,4.0,25.0,87.5,5.0,20.0,3.369
79,27,1,4.0,25.0,87.5,5.0,30.0,4.3
80,27,2,4.0,25.0,87.5,5.0,30.0,4.038
81,27,3,4.0,25.0,87.5,5.0,30.0,4.253
82,28,1,4.0,25.0,87.5,5.0,40.0,4.39
83,28,2,4.0,25.0,87.5,5.0,40.0,4.473
84,28,3,4.0,25.0,87.5,5.0,40.0,4.468
85,29,1,4.0,25.0,87.5,5.0,50.0,4.34
86,29,2,4.0,25.0,87.5,5.0,50.0,4.811
87,29,3,4.0,25.0,87.5,5.0,50.0,4.544
88,30,1,4.0,25.0,87.5,5.0,60.0,4.428
89,30,2,4.0,25.0,87.5,5.0,60.0,4.56
90,30,3,4.0,25.0,87.5,5.0,60.0,4.55
91,31,1,4.0,25.0,87.5,7.5,20.0,4.211
92,31,2,4.0,25.0,87.5,7.5,20.0,3.997
93,31,3,4.0,25.0,87.5,7.5,20.0,3.906
94,32,1,4.0,25.0,87.5,7.5,30.0,4.803
95,32,2,4.0,25.0,87.5,7.5,30.0,4.353
96,32,3,4.0,25.0,87.5,7.5,30.0,4.42
97,33,1,4.0,25.0,87.5,7.5,40.0,4.905
98,33,2,4.0,25.0,87.5,7.5,40.0,4.996
99,33,3,4.0,25.0,87.5,7.5,40.0,5.387
100,34,1,4.0,25.0,87.5,7.5,50.0,5.121
101,34,2,4.0,25.0,87.5,7.5,50.0,5.269
102,34,3,4.0,25.0,87.5,7.5,50.0,5.739
103,35,1,4.0,25.0,87.5,7.5,60.0,5.025
104,35,2,4.0,25.0,87.5,7.5,60.0,5.332
105,35,3,4.0,25.0,87.5,7.5,60.0,4.864
106,36,1,4.0,25.0,87.5,10.0,20.0,4.367
107,36,2,4.0,25.0,87.5,10.0,20.0,4.159
108,36,3,4.0,25.0,87.5,10.0,20.0,4.33
109,37,1,4.0,25.0,87.5,10.0,30.0,5.46
110,37,2,4.0,25.0,87.5,10.0,30.0,4.741
111,37,3,4.0,25.0,87.5,10.0,30.0,5.347
112,38,1,4.0,25.0,87.5,10.0,40.0,5.742
113,38,2,4.0,25.0,87.5,10.0,40.0,5.509
114,38,3,4.0,25.0,87.5,10.0,40.0,5.27
115,39,1,4.0,25.0,87.5,10.0,50.0,5.795
116,39,2,4.0,25.0,87.5,10.0,50.0,5.627
117,39,3,4.0,25.0,87.5,10.0,50.0,5.84
118,40,1,4.0,25.0,87.5,10.0,60.0,5.531
119,40,2,4.0,25.0,87.5,10.0,60.0,5.973
120,40,3,4.0,25.0,87.5,10.0,60.0,5.458
121,41,1,4.0,25.0,87.5,12.5,20.0,4.238
122,41,2,4.0,25.0,87.5,12.5,20.0,4.575
123,41,3,4.0,25.0,87.5,12.5,20.0,4.587
124,42,1,4.0,25.0,87.5,12.5,30.0,5.706
125,42,2,4.0,25.0,87.5,12.5,30.0,5.559
126,42,3,4.0,25.0,87.5,12.5,30.0,5.425
127,43,1,4.0,25.0,87.5,12.5,40.0,6.185
128,43,2,4.0,25.0,87.5,12.5,40.0,5.442
129,43,3,4.0,25.0,87.5,12.5,40.0,5.596
130,44,1,4.0,25.0,87.5,12.5,50.0,5.616
131,44,2,4.0,25.0,87.5,12.5,50.0,5.766
132,44,3,4.0,25.0,87.5,12.5,50.0,5.49
133,45,1,4.0,25.0,87.5,12.5,60.0,5.803
134,45,2,4.0,25.0,87.5,12.5,60.0,5.563
135,45,3,4.0,25.0,87.5,12.5,60.0,5.213
136,46,1,4.0,25.0,87.5,15.0,20.0,4.041
137,46,2,4.0,25.0,87.5,15.0,20.0,4.413
138,46,3,4.0,25.0,87.5,15.0,20.0,4.56
139,47,1,4.0,25.0,87.5,15.0,30.0,5.684
140,47,2,4.0,25.0,87.5,15.0,30.0,5.941
141,47,3,4.0,25.0,87.5,15.0,30.0,5.241
142,48,1,4.0,25.0,87.5,15.0,40.0,5.298
143,48,2,4.0,25.0,87.5,15.0,40.0,4.978
144,48,3,4.0,25.0,87.5,15.0,40.0,5.65
145,49,1,4.0,25.0,87.5,15.0,50.0,5.447
146,49,2,4.0,25.0,87.5,15.0,50.0,5.559
147,49,3,4.0,25.0,87.5,15.0,50.0,5.504
148,50,1,4.0,25.0,87.5,15.0,60.0,5.386
149,50,2,4.0,25.0,87.5,15.0,60.0,5.723
150,50,3,4.0,25.0,87.5,15.0,60.0,5.469
151,51,1,4.0,25.0,125.0,5.0,20.0,3.106
152,51,2,4.0,25.0,125.0,5.0,20.0,2.86
153,51,3,4.0,25.0,125.0,5.0,20.0,2.681
154,52,1,4.0,25.0,125.0,5.0,30.0,3.889
155,52,2,4.0,25.0,125.0,5.0,30.0,4.01
156,52,3,4.0,25.0,125.0,5.0,30.0,4.52
157,53,1,4.0,25.0,125.0,5.0,40.0,4.586
158,53,2,4.0,25.0,125.0,5.0,40.0,4.825
159,53,3,4.0,25.0,125.0,5.0,40.0,4.41
160,54,1,4.0,25.0,125.0,5.0,50.0,4.393
161,54,2,4.0,25.0,125.0,5.0,50.0,4.455
162,54,3,4.0,25.0,125.0,5.0,50.0,4.522
163,55,1,4.0,25.0,125.0,5.0,60.0,5.146
164,55,2,4.0,25.0,125.0,5.0,60.0,4.32
165,55,3,4.0,25.0,125.0,5.0,60.0,4.785
166,56,1,4.0,25.0,125.0,7.5,20.0,3.597
167,56,2,4.0,25.0,125.0,7.5,20.0,4.111
168,56,3,4.0,25.0,125.0,7.5,20.0,3.958
169,57,1,4.0,25.0,125.0,7.5,30.0,4.681
170,57,2,4.0,25.0,125.0,7.5,30.0,4.714
171,57,3,4.0,25.0,125.0,7.5,30.0,4.542
172,58,1,4.0,25.0,125.0,7.5,40.0,5.375
